Video Time;Neutral;Happy;Sad;Angry;Surprised;Scared;Disgusted;Contempt;Valence;Arousal
02:50,5;0,7987772;0,04008596;0,1044755;0,01821057;0;0;0,003414017;0,4715335;-0,06438956;0,3313028
02:50,5;0,7996852;0,04257087;0,1051705;0,01772184;0;0;0,003414934;0,4767474;-0,06259959;0,3434305
02:50,6;0,8003618;0,04565168;0,1069518;0,01634427;0;0;0,003404786;0,4742515;-0,06130017;0,3549778
02:50,7;0,8018305;0,04856797;0,1064717;0,01543047;0;0;0,003393764;0,4759449;-0,05790368;0,3658593
02:50,7;0,8021201;0,05085149;0,1072792;0,01501256;0;0;0,003353968;0,4824792;-0,05642766;0,3760237
02:50,8;0,8026382;0,05264188;0,1086859;0,01426253;0;0;0,003308751;0,48701;-0,05604404;0,3854474
02:50,9;0,8037055;0,05355376;0,1090346;0,01442588;0;0;0,003290066;0,4909177;-0,05548088;0,3941654
02:50,9;0,8035167;0,05408579;0,1099977;0,01456825;0;0;0,003473686;0,4890804;-0,05591191;0,4021981
02:51,0;0,8036305;0,05452686;0,1101686;0,0148935;0;0;0,003619692;0,4826167;-0,05564173;0,4095808
02:51,1;0,8039801;0,05400364;0,1098765;0,01626608;0;0;0,003803944;0,4700635;-0,05587285;0,4095808
02:51,1;0,8042068;0,05354777;0,1079483;0,01861985;0;0;0,004030423;0,443379;-0,05440058;0,408163
02:51,2;0,802889;0,05305422;0,1066982;0,02224767;0;0;0,004284391;0,4118149;-0,05364393;0,4059776
02:51,3;0,8008708;0,05264559;0,1055483;0,02710262;0;0;0,004584003;0,3740329;-0,05290275;0,4031136
02:51,3;0,7997581;0,05196802;0,1031549;0,03048916;0;0;0,004859354;0,3429263;-0,05118683;0,3996523
02:51,4;0,8010544;0,05236566;0,09727561;0,03299319;0;0;0,005199581;0,3276486;-0,04490995;0,3956677
02:51,5;0,8027883;0,05325951;0,0908705;0,03509722;0;0;0,005473646;0,3187914;-0,03761099;0,3923748
02:51,5;0,8023961;0,05433592;0,08724914;0,03645265;0;0;0,005687089;0,3188555;-0,03291322;0,3897081
02:51,6;0,8009718;0,05546805;0,08541756;0,03700887;0;0;0,005857611;0,3146941;-0,02994952;0,3876051
02:51,7;0,7996016;0,05660319;0,08482038;0,03738641;0;0;0,005969145;0,3106826;-0,02821719;0,3860082
02:51,7;0,8003639;0,05756007;0,08220146;0,03754298;0;0;0,005986215;0,3072307;-0,02464139;0,3837176
02:51,8;0,8035811;0,05765916;0,07847152;0,03771381;0;0;0,005962959;0,3022263;-0,02081235;0,3808146
02:51,9;0,8069429;0,05725098;0,07513048;0,03755064;0;0;0,005875156;0,3010508;-0,01787949;0,3785219
02:51,9;0,8093991;0,05631454;0,07344902;0,03747341;0;0;0,005770034;0,3016473;-0,01713449;0,3756299
02:52,0;0,8116681;0,05624645;0,07163452;0,03726203;0;0;0,005738383;0,2973626;-0,01538806;0,3722114
02:52,1;0,8124471;0,05593579;0,07116193;0,03719684;0;0;0,005768647;0,2971539;-0,01522614;0,3694801
02:52,1;0,8092839;0,0558622;0,07540128;0,03692895;0;0;0,005889347;0,2992625;-0,01953908;0,3662204
02:52,2;0,8045371;0,05618078;0,07971349;0,03667288;0;0;0,006324338;0,2985485;-0,02353271;0,3624985
02:52,3;0,7982823;0,05662821;0,08483753;0,03599713;0;0;0,006895481;0,2976061;-0,02820932;0,358686
02:52,3;0,7898219;0,05744824;0,09198447;0,03541854;0;0;0,0074688;0,2938321;-0,03453624;0,3549999
02:52,4;0,7817773;0,05814014;0,09803488;0,03537582;0;0;0,007986954;0,2885561;-0,03989474;0,351436
02:52,5;0,7761445;0,05902648;0,1013504;0,03572033;0;0;0,008305842;0,2815925;-0,04232393;0,3479903
02:52,5;0,7737792;0,05947501;0,1011989;0,03666522;0;0;0,008436893;0,2772231;-0,0417239;0,3446588
02:52,6;0,7745985;0,05934378;0,09815192;0,03753135;0;0;0,008429782;0,273959;-0,03880814;0,3414377
02:52,7;0,7781919;0,05873464;0,09266281;0,0382751;0;0;0,008251246;0,2702736;-0,03392817;0,3383235
02:52,7;0,7827581;0,05808492;0,08685541;0,03893728;0;0;0,007986655;0,2651275;-0,0287705;0,3353125
02:52,8;0,7875306;0,05803674;0,08114365;0,03901519;0;0;0,007711017;0,260155;-0,02310691;0,3324012
02:52,9;0,7925902;0,05753547;0,07599992;0,03894635;0;0;0,007506494;0,2547061;-0,01846445;0,3295866
02:52,9;0,7974995;0,05712394;0,07048156;0,03898869;0;0;0,007322447;0,2613052;-0,01335762;0,3268652
02:53,0;0,7973449;0,05635455;0,07440969;0,03800568;0;0;0,007078117;0,2660756;-0,01805514;0,324234
02:53,1;0,7861654;0,05610129;0,09381846;0,03631234;0;0;0,006841045;0,2829425;-0,03771716;0,3216901
02:53,1;0,777001;0,05687878;0,1046069;0,03425603;0;0;0,006549911;0,3138098;-0,04772813;0,3192305
02:53,2;0,7670364;0,05809201;0,1157814;0,03200516;0;0;0,006272799;0,3415415;-0,05768944;0,3168525
02:53,2;0,7529838;0,05872207;0,1328192;0,02959422;0;0;0,005976385;0,3628626;-0,07409713;0,3145533
02:53,3;0,7382856;0,05911624;0,1518928;0,02742635;0;0;0,005700781;0,3853733;-0,09277655;0,3117443
02:53,4;0,7296672;0,06035116;0,1612156;0,02512783;0;0;0,005444488;0,397933;-0,1008644;0,3095543
02:53,4;0,7223393;0,06180178;0,1704692;0,02353344;0;0;0,005277095;0,3967147;-0,1086674;0,3080782
02:53,5;0,7177164;0,06249374;0,1775137;0,02178466;0;0;0,005111495;0,4062356;-0,11502;0,3072476
02:53,6;0,7151887;0,06258667;0,1824062;0,02009428;0;0;0,005011103;0,418154;-0,1198195;0,3069929
02:53,6;0,7162856;0,06254078;0,1833901;0,01912881;0;0;0,004962399;0,4256302;-0,1208494;0,3069929
02:53,7;0,7210186;0,06295307;0,1785323;0,01845806;0;0;0,004878917;0,4383025;-0,1155793;0,3149967
02:53,8;0,7283298;0,06417505;0,1689019;0,01841282;0;0;0,004754586;0,4479963;-0,1047268;0,3247866
02:53,8;0,735016;0,06542221;0,1603026;0,01890902;0;0;0,004591832;0,4533117;-0,09488038;0,3353491
02:53,9;0,743042;0,06695118;0,1497245;0,02061286;0;0;0,004463445;0,4536823;-0,08277334;0,3460377
02:54,0;0,7539821;0,06785305;0,1346316;0,02234645;0;0;0,004295995;0,4432941;-0,06677853;0,356467
02:54,0;0,7653542;0,0669248;0,1220026;0,02366503;0;0;0,004088251;0,4337035;-0,05507784;0,3664402
02:54,1;0,7745128;0,06440701;0,1147965;0,02433529;0;0;0,003854559;0,4269919;-0,05038954;0,3664402
02:54,2;0,7801967;0,06119384;0,113929;0,02475954;0;0;0,00365952;0,4187561;-0,05273512;0,3653428
02:54,2;0,7793826;0,05706741;0,1252045;0,02476009;0;0;0,003469721;0,4183922;-0,06813712;0,3635435
02:54,3;0,7768911;0,05283289;0,139027;0,02435841;0;0;0,003245294;0,4114091;-0,08619413;0,3611232
02:54,4;0,7736339;0,04851053;0,1533008;0,02381754;0;0;0,003047972;0,4042736;-0,1047902;0,3581559
02:54,4;0,7689335;0,04459168;0,1699517;0,02335924;0;0;0,002837203;0,4231806;-0,12536;0,3558571
02:54,5;0,7666973;0,04171138;0,1808332;0,02283568;0;0;0,00267445;0,4304473;-0,1391218;0,3530114
02:54,6;0,7615445;0,03945356;0,1958942;0,02239446;0;0;0,002575798;0,4264575;-0,1564406;0,3496858
02:54,6;0,7528896;0,03724188;0,2169951;0,02229433;0;0;0,002511181;0,4253223;-0,1797532;0,3462981
02:54,7;0,7482097;0,03585852;0,2292041;0,02202763;0;0;0,002425771;0,4237798;-0,1933456;0,3430227
02:54,8;0,7456698;0,03487922;0,2361085;0,02141363;0;0;0,002407769;0,4186314;-0,2012293;0,3398559
02:54,8;0,7423824;0,03353609;0,2448335;0,02104717;0;0;0,002444945;0,4176162;-0,2112974;0,336794
02:54,9;0,7394051;0,03176003;0,2528559;0,02067281;0;0;0,002464153;0,4130761;-0,2210959;0,3338337
02:55,0;0,7324746;0,02967994;0,2676726;0,02041043;0;0;0,00254307;0,4001942;-0,2379927;0,3309715
02:55,0;0,7281834;0,02745148;0,2778058;0,02042425;0;0;0,002604202;0,3992087;-0,2503543;0,3282042
02:55,1;0,7283642;0,02568834;0,2795141;0,02059915;0;0;0,00263574;0,4011863;-0,2538258;0,3255287
02:55,2;0,7297512;0,02442243;0,2794583;0,02095342;0;0;0,002446596;0,3955349;-0,2550358;0,3229419
02:55,2;0,7286468;0,02347602;0,2838749;0,02118818;0;0;0,002126651;0,3970848;-0,2603989;0,3204408
02:55,3;0,7301592;0,02265394;0,2836871;0,02128603;0;0;0,001773499;0,3978682;-0,2610332;0,3180226
02:55,4;0,7331888;0,02225997;0,2801723;0,02115871;0;0;0,001455335;0,4002061;-0,2579124;0,3156846
02:55,4;0,7355262;0,02219709;0,2771101;0,02092409;0;0;0,001370581;0,4010483;-0,254913;0,3134241
02:55,5;0,7373032;0,02182564;0,2740956;0,02075451;0;0;0,001268304;0,400438;-0,25227;0,3112386
02:55,6;0,7394494;0,02128921;0,2705535;0,020691;0;0;0,001051357;0,4039997;-0,2492643;0,3091255
02:55,6;0,7403159;0,02104303;0,2684422;0,02112775;0;0;0,000970883;0,4066478;-0,2473992;0,3070824
02:55,7;0,7403936;0,0206565;0,2677523;0,02163909;0;0;0,000796707;0,4091021;-0,2470958;0,3051071
02:55,8;0,7408729;0,02026133;0,2656488;0,02256369;0;0;0,000679212;0,4256495;-0,2453874;0,3031973
02:55,8;0,7412653;0,02049024;0,263109;0,02339728;0;0;0,000845653;0,4424065;-0,2426187;0,3013508
02:55,9;0,7394165;0,02065417;0,2635268;0,02394641;0;0;0,001348829;0,4631659;-0,2428726;0,2995656
02:56,0;0,7382671;0,02041486;0,2625586;0,02480737;0;0;0,001813101;0,488129;-0,2421437;0,2980028
02:56,0;0,7375731;0,02029382;0,2613104;0,02537176;0;0;0,002176275;0,5016726;-0,2410166;0,2963285
02:56,1;0,7309301;0,02021753;0,2700103;0,02545702;0;0;0,002417069;0,5204558;-0,2497927;0,2950111
02:56,2;0,7228266;0,0200555;0,2810412;0,0249295;0;0;0,00257702;0,5390309;-0,2609857;0,294349
02:56,2;0,7147159;0,0200378;0,2917139;0,02451497;0;0;0,002547415;0,559637;-0,2716761;0,2942717
02:56,3;0,709282;0,0199446;0,2988414;0,02410626;0;0;0,00269916;0,5780161;-0,2788967;0,2942717
02:56,4;0,7072361;0,01969256;0,3011056;0,02387084;0;0;0,002737821;0,5983934;-0,2814131;0,304457
02:56,4;0,7062611;0,02010034;0,2997698;0,02389934;0;0;0,002549923;0,6108751;-0,2796694;0,3157683
02:56,5;0,7058827;0,02048181;0,2981595;0,02443994;0;0;0,002337938;0,6259186;-0,2776777;0,3274147
02:56,5;0,7088053;0,0207763;0,2916231;0,02451779;0;0;0,002348162;0,6362134;-0,2708468;0,3389041
02:56,6;0,7155799;0,02201067;0,2788882;0,02456162;0;0;0,002599259;0,6385872;-0,2568775;0,3499682
02:56,7;0,7229431;0,02340734;0,2657416;0,025038;0;0;0,002829143;0,6432045;-0,2423342;0,3604639
02:56,7;0,7293769;0,02439259;0,2544289;0,02556058;0;0;0,003012876;0,6416387;-0,2300363;0,3703019
02:56,8;0,7343629;0,02491283;0,247269;0,02611126;0;0;0,00315237;0,6334908;-0,2223562;0,379454
02:56,9;0,7381811;0,02593961;0,2423242;0,02669155;0;0;0,003239032;0,6275733;-0,2163846;0,3879539
02:56,9;0,7389365;0,02632129;0,2425856;0,02632369;0;0;0,003235084;0,6318567;-0,2162643;0,3958039
02:57,0;0,7415838;0,02742507;0,2391104;0,02602409;0;0;0,00325001;0,6267786;-0,2116853;0,4030348
02:57,1;0,7431293;0,02847501;0,2379966;0,02554337;0;0;0,003279544;0,622691;-0,2095216;0,4096897
02:57,1;0,7450097;0,02929391;0,235814;0,02455577;0;0;0,003286175;0,6282268;-0,2065201;0,4157769
02:57,2;0,7455347;0,03154168;0,2351682;0,02373749;0;0;0,003353527;0,6255128;-0,2036266;0,4213731
02:57,3;0,747283;0,03370856;0,2317366;0,02330716;0;0;0,00318916;0,6253163;-0,198028;0,4265173
02:57,3;0,7538486;0,03640907;0,2191182;0,02300721;0;0;0,00315628;0,6187779;-0,1827092;0,4312271
02:57,4;0,7600471;0,03871243;0,2057527;0,02241044;0;0;0,003252844;0,6207746;-0,1670403;0,4355026
02:57,5;0,7622613;0,0400064;0,200396;0,02197908;0;0;0,003300507;0,6250547;-0,1603896;0,4393922
02:57,5;0,7633481;0,04189009;0,1976015;0,02185833;0;0;0,003417168;0,6167395;-0,1557114;0,4429087
