add device 1: /dev/input/event11
  name:     "rt5648-audio Intel MID Audio Jack"
add device 2: /dev/input/event10
  name:     "headset_dev"
add device 3: /dev/input/event9
  name:     "headset_dev"
add device 4: /dev/input/event8
  name:     "headset_dev"
add device 5: /dev/input/event7
  name:     "headset_dev"
add device 6: /dev/input/event6
  name:     "headset_dev"
add device 7: /dev/input/event2
  name:     "mid_powerbtn"
add device 8: /dev/input/event1
  name:     "gpio-keys"
add device 9: /dev/input/event5
  name:     "headset_dev"
add device 10: /dev/input/event4
  name:     "headset_dev"
add device 11: /dev/input/event3
  name:     "goodix-touchscreen"
add device 12: /dev/input/event0
  name:     "lid_input"
[   10379.082986] /dev/input/event3: EV_KEY       BTN_TOUCH            DOWN                
[   10379.288963] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.288963] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.288963] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.301134] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000a7            
[   10379.301134] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    0000029f            
[   10379.301134] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.301134] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.301134] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.301134] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.301134] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.313157] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000a6            
[   10379.313157] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    0000029e            
[   10379.313157] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.313157] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.313157] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.313157] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.313157] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.325560] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000a6            
[   10379.325560] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    0000029f            
[   10379.325560] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.325560] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.325560] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.325560] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.325560] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.337159] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000a9            
[   10379.337159] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002a1            
[   10379.337159] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.337159] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.337159] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.337159] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
